上櫃股票每日收盤行情(不含定價) 
產業類別:所有證券(不含權證、牛熊證) 
資料日期:104/09/03
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後賣價,發行股數 ,次日漲停價 ,次日跌停價
"2718","桃園店","33.55","- 0.05 ","33.00","33.55","32.60","4,000","131,850","4","32.80","33.60","22,576,000","36.90","30.20"
"2719","燦星旅","17.95","- 0.10 ","17.85","18.20","17.65","71,000","1,276,850","37","17.85","17.95","36,292,000","19.70","16.20"
"2724","F-富驛","15.50","+ 1.10 ","14.30","15.80","14.30","62,000","953,950","48","15.25","15.45","38,172,290","17.05","13.95"
"2726","F-雅茗","47.00","- 0.60 ","49.70","49.70","47.00","77,000","3,658,850","30","46.80","47.00","27,350,280","51.70","42.30"
"2729","瓦城","220.00","- 0.50 ","220.00","220.00","219.00","25,000","5,491,000","23","219.50","220.00","23,266,000","242.00","198.00"
"2732","六角","99.40","+ 2.40 ","99.00","100.00","97.50","19,000","1,882,500","19","99.30","99.40","27,951,525","109.00","89.50"
"2734","易飛網","26.00","+ 0.10 ","25.40","26.00","25.25","14,000","359,200","10","25.60","26.00","30,259,760","28.60","23.40"
"2916","滿心","16.80","+ 0.10 ","16.60","16.95","16.60","13,000","218,100","12","16.85","16.95","54,626,878","18.45","15.15"
"2924","F-東凌","71.70","+ 0.10 ","71.70","72.10","71.50","319,000","22,815,400","22","71.70","71.80","35,105,174","78.80","64.60"
"2926","誠品生","151.00","- 1.00 ","151.50","151.50","151.00","4,000","604,500","3","150.00","151.50","45,133,000","166.00","136.00"
"3064","泰偉","18.00","+ 1.45 ","16.55","18.00","16.55","69,000","1,205,700","52","17.90","18.00","72,605,141","19.80","16.20"
"3066","李洲","6.90","+ 0.20 ","7.00","7.00","6.90","4,000","27,800","4","6.90","7.00","83,070,612","7.59","6.21"
"3067","全域","12.80","+ 0.35 ","12.40","12.80","12.40","6,000","75,350","5","12.70","12.75","29,025,240","14.05","11.55"
"3068","美磊","30.05","+ 0.10 ","29.80","30.50","29.80","36,000","1,078,950","22","30.05","30.10","85,424,004","33.05","27.05"
"3071","協禧","6.80","- 0.01 ","6.94","6.94","6.68","141,000","951,560","76","6.72","6.81","146,067,876","7.48","6.12"
"3073","普格","6.49","- 0.21 ","6.04","6.59","6.03","15,000","93,820","8","6.15","6.54","46,663,657","7.13","5.85"
"3078","僑威","13.95","+ 0.30 ","13.70","14.25","13.70","890,000","12,434,550","387","13.95","14.10","227,391,064","15.30","12.60"
"3081","聯亞","421.00","+ 20.50 ","405.00","432.50","402.00","2,404,000","1,005,811,000","2,081","420.50","421.00","60,791,092","463.00","379.00"
"3083","網龍","27.30","+ 1.05 ","26.50","27.50","26.00","287,000","7,761,750","228","27.10","27.30","85,704,358","30.00","24.60"
"3085","久大","7.30","- 0.20 ","7.38","7.40","7.05","91,000","656,750","28","7.12","7.30","71,226,713","8.03","6.57"
"3086","華義","9.80","+ 0.54 ","9.88","9.88","9.30","112,000","1,087,690","62","9.75","9.80","59,811,742","10.75","8.82"
"3088","艾訊","52.50","+ 1.00 ","51.60","53.10","51.40","283,000","14,842,200","214","52.40","52.50","78,807,034","57.70","47.25"
"3089","遠昇","29.85","+ 1.80 ","30.85","30.85","29.00","2,125,000","63,815,250","1,030","29.85","29.90","69,330,463","32.80","26.90"
"3092","鴻碩","12.20","+ 0.70 ","11.70","12.65","11.65","408,000","4,981,700","119","12.15","12.20","63,824,690","13.40","11.00"
"3093","港建","28.00","+ 1.55 ","28.80","28.80","28.00","3,000","84,850","3","26.65","27.70","36,288,894","30.80","25.20"
"3095","及成","9.21","- 0.04 ","8.93","9.45","8.93","199,000","1,840,450","93","9.21","9.30","109,276,321","10.10","8.29"
"3105","穩懋","35.05","+ 2.05 ","33.50","35.30","33.50","15,532,000","534,120,700","7,132","35.05","35.10","595,456,662","38.55","31.55"
"3114","好德","11.20","+ 0.50 ","11.00","11.30","10.95","50,000","558,100","24","11.15","11.25","50,013,691","12.30","10.10"
"3115","寶島極","9.68","+ 0.38 ","9.49","9.68","9.49","54,000","513,350","6","9.53","9.80","43,697,600","10.60","8.72"
"3118","進階","32.20","+ 0.40 ","31.80","32.35","31.80","32,000","1,027,150","20","32.20","32.25","32,452,860","35.40","29.00"
"3122","笙泉","14.45","+ 0.35 ","14.20","14.75","14.20","144,000","2,070,650","76","14.40","14.45","39,530,934","15.85","13.05"
"3128","昇銳","15.30","0.00 ","15.20","15.35","15.00","125,000","1,884,000","54","15.05","15.30","42,000,000","16.80","13.80"
"3131","弘塑","170.00","0.00 ","170.00","174.50","169.00","229,000","39,203,500","191","170.00","170.50","24,683,843","187.00","153.00"
"3141","晶宏","17.65","- 0.15 ","17.75","17.90","17.60","746,000","13,222,300","353","17.60","17.65","103,109,913","19.40","15.90"
"3144","新揚科","15.45","+ 0.40 ","15.05","15.55","15.05","24,000","368,250","14","15.10","15.50","100,637,750","16.95","13.95"
"3152","璟德","213.00","+ 7.00 ","210.00","219.00","208.50","1,506,000","322,574,000","1,316","213.00","213.50","69,016,200","234.00","192.00"
"3162","精確","6.15","+ 0.06 ","6.03","6.18","6.01","16,000","97,390","9","6.05","6.15","56,531,342","6.76","5.54"
"3163","波若威","30.15","除息 ","29.10","30.60","28.80","2,095,000","62,511,450","1,273","30.10","30.15","72,926,481","33.15","27.15"
"3169","亞信","24.15","+ 0.30 ","23.85","24.40","23.60","296,000","7,096,900","162","24.10","24.15","51,758,922","26.55","21.75"
"3171","新洲","16.75","0.00 ","16.75","16.75","16.70","42,000","703,400","8","16.65","16.75","59,203,515","18.40","15.10"
"3176","基亞","84.00","+ 0.20 ","84.70","84.70","83.00","591,000","49,529,300","485","84.00","84.10","138,685,505","92.40","75.60"
"3188","安茂","8.52","+ 0.01 ","9.00","9.00","8.51","9,000","77,720","8","8.51","9.00","46,125,620","9.37","7.67"
"3191","和進","15.25","+ 0.35 ","15.00","15.70","14.85","377,000","5,762,150","172","15.25","15.50","54,694,761","16.75","13.75"
"3202","樺晟","6.08","+ 0.47 ","5.63","6.10","5.61","1,592,000","9,483,340","293","5.93","6.08","96,687,192","6.68","5.48"
"3205","佰研","120.00","+ 10.50 ","120.00","120.00","117.00","1,433,000","171,478,500","905","120.00","0.00","25,310,326","132.00","108.00"
"3206","志豐","20.70","+ 0.35 ","20.65","20.90","20.45","259,000","5,353,000","154","20.70","20.80","43,616,002","22.75","18.65"
"3207","耀勝","7.10","+ 0.27 ","7.39","7.39","7.10","15,000","107,130","6","7.04","7.20","38,259,225","7.81","6.39"
"3211","順達","48.35","+ 0.85 ","47.50","48.35","47.50","463,000","22,187,500","278","48.35","48.40","151,968,521","53.10","43.55"
"3213","茂訊","37.35","+ 0.30 ","37.30","38.05","37.30","83,000","3,123,900","61","37.35","37.65","58,685,547","41.05","33.65"
"3217","優群","11.30","+ 0.30 ","11.00","11.30","11.00","57,000","635,850","38","11.30","11.35","84,059,203","12.40","10.20"
"3218","大學光","22.45","+ 0.25 ","22.50","22.60","22.05","143,000","3,195,000","99","22.25","22.45","66,123,000","24.65","20.25"
"3219","倚強","11.30","- 0.40 ","11.50","11.50","11.30","17,000","192,800","11","11.30","12.25","23,300,417","12.40","10.20"
"3221","台嘉碩","13.70","+ 0.05 ","13.80","14.05","13.55","637,000","8,777,150","322","13.65","13.70","86,190,060","15.05","12.35"
"3224","三顧","28.95","+ 0.80 ","28.30","29.80","28.00","295,000","8,527,750","182","28.90","29.20","40,000,000","31.80","26.10"
"3226","至寶電","49.85","- 0.15 ","48.80","50.00","48.80","4,000","197,450","4","48.55","49.85","64,430,573","54.80","44.90"
"3227","原相","61.00","0.00 ","61.40","62.30","60.30","2,639,000","162,157,100","1,868","61.00","61.10","131,299,381","67.10","54.90"
"3228","金麗科","20.40","- 1.00 ","20.70","20.70","19.50","80,000","1,619,300","47","20.35","20.45","62,462,705","22.40","18.40"
"3230","錦明","5.28","+ 0.30 ","5.00","5.46","4.90","374,000","1,969,140","106","5.21","5.29","109,746,524","5.80","4.76"
"3232","昱捷","26.00","- 0.50 ","26.65","26.65","25.80","40,000","1,042,300","29","26.00","26.20","31,567,865","28.60","23.40"
"3234","光環","70.50","- 0.80 ","72.70","72.90","69.60","12,983,000","930,290,200","7,648","70.50","70.60","103,826,089","77.50","63.50"
"3236","千如","9.89","+ 0.70 ","9.19","10.05","9.19","332,000","3,246,060","148","9.81","9.90","60,379,413","10.85","8.91"
"3252","海灣","22.50","- 0.10 ","21.80","22.65","21.80","23,000","516,600","15","22.50","23.00","21,708,478","24.75","20.25"
"3259","鑫創","26.30","+ 0.30 ","26.00","26.40","25.80","49,000","1,275,100","32","26.30","26.40","80,859,553","28.90","23.70"
"3260","威剛","30.05","+ 0.55 ","30.00","30.45","29.70","1,561,000","47,146,800","852","30.05","30.25","229,973,374","33.05","27.05"
"3264","欣銓","18.95","+ 0.40 ","18.70","19.00","18.55","3,513,000","66,107,600","1,438","18.90","18.95","480,932,442","20.80","17.10"
"3265","台星科","22.45","+ 0.65 ","22.00","22.70","21.85","474,000","10,566,200","270","22.45","22.50","136,261,659","24.65","20.25"
"3268","海德威","12.50","+ 0.30 ","12.40","12.65","12.25","77,000","964,600","39","12.50","12.55","33,426,272","13.75","11.25"
"3272","東碩","55.50","- 0.80 ","56.30","58.40","55.10","2,183,000","123,662,900","1,629","55.50","55.60","52,264,966","61.00","49.95"
"3276","宇環","8.49","0.00 ","8.50","8.50","8.22","56,000","470,990","29","8.43","8.49","69,712,666","9.33","7.65"
"3284","太普高","9.11","- 0.04 ","9.14","9.14","8.98","162,000","1,466,080","49","9.09","9.11","60,663,790","10.00","8.20"
"3285","微端","31.95","+ 0.70 ","31.30","32.50","31.30","390,000","12,480,750","242","31.85","31.95","44,109,324","35.10","28.80"
"3287","廣寰科","7.12","- 0.01 ","7.09","7.13","6.95","65,000","458,330","33","7.03","7.12","43,970,483","7.83","6.41"
"3288","點晶","6.13","- 0.36 ","6.52","6.70","6.12","39,000","248,100","20","6.13","6.29","48,475,148","6.74","5.52"
"3289","宜特","82.00","+ 4.00 ","78.80","83.00","78.60","1,568,000","127,375,400","1,085","81.70","82.00","46,470,039","90.20","73.80"
"3290","東浦","15.35","- 0.15 ","15.50","15.50","15.10","90,000","1,377,100","46","15.35","15.40","99,548,926","16.85","13.85"
"3291","遠翔科","16.05","+ 0.05 ","16.10","16.15","15.60","94,000","1,496,050","59","15.90","16.05","35,561,400","17.65","14.45"
"3293","鈊象","71.00","+ 4.40 ","67.60","72.70","67.10","1,539,000","108,255,500","1,166","71.00","71.10","69,666,890","78.10","63.90"
"3294","英濟","18.15","+ 0.55 ","17.65","18.15","17.65","197,000","3,537,050","104","18.10","18.15","130,164,919","19.95","16.35"
"3297","杭特","15.35","- 0.05 ","15.45","15.45","15.25","57,000","873,950","29","15.30","15.35","36,798,745","16.85","13.85"
"3299","帛漢","45.25","+ 0.90 ","44.60","45.40","44.35","284,000","12,764,400","167","45.20","45.25","50,385,385","49.75","40.75"
"3303","岱稜","15.50","+ 0.05 ","15.60","15.80","15.50","73,000","1,140,000","39","15.50","15.65","102,335,607","17.05","13.95"
"3306","鼎天","22.45","+ 0.80 ","22.00","23.80","22.00","643,000","14,896,800","283","22.45","22.60","50,607,702","24.65","20.25"
